address,amount,tier,reason
0xf39fd6e51aad88f6f4ce6ab8827279cfffb92266,125000.00,Forgemaster,Hardhat #0 — deployer · 87 txns · founding allocation
0x70997970c51812dc3a010c7d01b50e0d17dc79c8,1500.00,Ember,Hardhat #1 — 18 swaps + bridged 50 testETH
0x3c44cdddb6a900fa2b585dd299e03d12fa4293bc,1200.00,Ember,Hardhat #2 — 22 swaps · steady weekly activity
0x90f79bf6eb2c4f870365e785982e1f101e93b906,800.00,Spark,Hardhat #3 — 8 swaps · early pool LP
0x15d34aaf54267db7d7c367839aaf71a00a2c6a65,600.00,Spark,Hardhat #4 — 6 swaps · bridged 10 testETH
0x9965507d1a55bcc2695c58ba16fb37d819b0a4dc,400.00,Spark,Hardhat #5 — 5 swaps threshold met
0x976ea74026e726554db657fa54763abd0c3a0aa9,350.00,Spark,Hardhat #6 — 5 swaps + 1 bridge
0x14dc79964da2c08b23698b3d3cc7ca32193d9955,300.00,Spark,Hardhat #7 — testnet activity threshold
0x23618e81e3f5cdf7f54c3d65f7fbc0abf5b21e8f,250.00,Spark,Hardhat #8 — 5 swaps
0xa0ee7a142d267c1f36714e4a8f75612f20a79720,420.69,Litecoin Holder,Hardhat #9 — LTC snapshot · prioritized
0xbcd4042de499d14e55001ccbb24a551f3b954096,2750.00,Forgemaster,Hardhat #10 — 60+ txns + staked LITVM
0x71be63f3384f5fb98995898a86b02fb2426c5788,1100.00,Ember,Hardhat #11 — 16 swaps + 2 bridges
0xfabb0ac9d68b0b445fb7357272ff202c5651694a,950.00,Ember,Hardhat #12 — 15 txns + token deployer
0x1cbd3b2770909d4e10f157cabc84c7264073c9ec,500.00,Spark,Hardhat #13 — 7 swaps
0xdf3e18d64bc6a983f673ab319ccae4f1a57c7097,3200.00,Forgemaster,Hardhat #14 — 50+ txns + 5,000 LITVM staked
0xcd3b766ccdd6ae721141f452c550ca635964ce71,200.00,Spark,Hardhat #15 — minimum threshold
0x2546bcd3c84621e976d8185a91a922ae77ecec30,650.00,Spark,Hardhat #16 — 9 swaps · bridged 5 testETH
0xbda5747bfd65f08deb54cb465eb87d40e51b197e,1300.00,Ember,Hardhat #17 — 17 swaps · steady volume
0xdd2fd4581271e230360230f9337d5c0430bf44c0,2400.00,Forgemaster,Hardhat #18 — 51+ txns + early staker
0x8626f6940e2eb28930efb4cef49b2d1f2c9c1199,750.00,Spark,Hardhat #19 — 10 swaps + LP
0xdead000000000000000000000000000000000000,420.69,Litecoin Holder,LTC holder snapshot · prioritized allocation
